url,label,type
br-icloud.com.br,malicious,phishing
mp3raid.com/music/krizz_kaliko.html,safe,benign
bopsecrets.org/rexroth/cr/1.htm,safe,benign
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,suspicious,defacement
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,suspicious,defacement
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,safe,benign
espn.go.com/nba/player/_/id/3457/brandon-rush,safe,benign
yourbittorrent.com/?q=anthony-hamilton-soulife,safe,benign
http://www.pashminaonline.com/pure-pashminas,suspicious,defacement
allmusic.com/album/crazy-from-the-heat-r16990,safe,benign
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,safe,benign
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,suspicious,defacement
myspace.com/video/vid/30602581,safe,benign
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,suspicious,defacement
http://www.szabadmunkaero.hu/cimoldal.html?start=12,suspicious,defacement
http://larcadelcarnevale.com/catalogo/palloncini,suspicious,defacement
quickfacts.census.gov/qfd/maps/iowa_map.html,safe,benign
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,safe,benign
uk.linkedin.com/pub/steve-rubenstein/8/718/755,safe,benign
http://www.vnic.co/khach-hang.html,suspicious,defacement
baseball-reference.com/players/h/harrige01.shtml,safe,benign
signin.eby.de.zukruygxctzmmqi.civpro.co.za,malicious,phishing
192.com/atoz/people/oakley/patrick/,safe,benign
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,safe,benign
escholarship.org/uc/item/5xt4952c,safe,benign
songfacts.com/detail.php?id=13410,safe,benign
casamanana.org/education/blba/,safe,benign
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,safe,benign
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,malicious,phishing
en.wikipedia.org/wiki/North_Dakota,safe,benign
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,safe,benign
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,safe,benign
media.caltech.edu/press_releases/13186,safe,benign
wikiobits.com/Obits/TonyProudfoot,safe,benign
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,safe,benign
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,suspicious,defacement
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,safe,benign
cyndislist.com/us/pa/counties,safe,benign
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malicious,malware
http://www.raci.it/component/user/reset.html,suspicious,defacement
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,malicious,phishing
psychology.wikia.com/wiki/Phonemes,safe,benign
info.centriq.com/content/fivereasons,safe,benign
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,safe,benign
infinitysw.com/,safe,benign
strawberrycreekgardens.com/,safe,benign
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,suspicious,defacement
spoke.com/dir/p/desantis/nick,safe,benign
wordsmith.org/words/pignus.html,safe,benign
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,safe,benign
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,suspicious,defacement
http://www.kingsmillshotel.com/spring/mothers-day,suspicious,defacement
almanac.logos.com/Denominations,safe,benign
gaming.wikia.com/wiki/Backbreaker_(video_game),safe,benign
ceu.hu/,safe,benign
registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,safe,benign
linkedin.com/pub/george-cleveland/7/80a/599,safe,benign
sunshinemills.com/,safe,benign
agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,safe,benign
ctv.ca/generic/WebSpecials/sponsorship_scandal/,safe,benign
http://www.approvi.com.br/ck.htm,suspicious,defacement
http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,suspicious,defacement
veoox.com/tags/game.html,safe,benign
chuckwalkertrio.blogspot.com/,safe,benign
aerosolesshoes.org/,safe,benign
http://www.juventudelirica.com.br/index.html,suspicious,defacement
http://www.myenrg.com/southwest/9-texas,suspicious,defacement
recipelink.com/msgbrd/board_14/2007/DEC/29094.html,safe,benign
http://www.musimagen.com/lista_socios.php?letra=\303%91,suspicious,defacement
ideas.repec.org/f/pma235.html,safe,benign
peopleaz.org/firstname/Fowlkes/6,safe,benign
orensamtraktrip.wordpress.com/,safe,benign
retajconsultancy.com,malicious,phishing
alexa.com/whatshot?q=james+arness,safe,benign
jpopasia.com/group/arashi/discography/,safe,benign
kitsapsun.com/photos/2011/feb/25/177999/,safe,benign
local.yahoo.com/info-42862457-oakland-international-airport-oakland,safe,benign
tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,safe,benign
articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,safe,benign
broadwaystars.com/classic/?source=www.playbill.com,safe,benign
http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,suspicious,defacement
forums.networkinfrastructure.info/motorola-wireless-lan-switches/,safe,benign
youtube.com/watch?v=mwpoPQ1SPJU,safe,benign
mccall-idchamber.org/,safe,benign
chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,safe,benign
friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,safe,benign
http://asociacionkaribu.org/index.php/servicios/centro-jambo,suspicious,defacement
http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,malicious,phishing
pipl.com/directory/name/Whissell/180,safe,benign
spokeo.com/John+Collet,safe,benign
http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,suspicious,defacement
http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2/,safe,benign
faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,safe,benign
duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,safe,benign
alexpay2.beget.tech,malicious,phishing
http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,safe,benign
http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,suspicious,defacement
en.wikipedia.org/wiki/Lloyd_Bacon,safe,benign
http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,safe,benign
http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=297,suspicious,defacement
ciajfk.com/harold.html,safe,benign
http://www.protect-effect.nl/diensten/62-telefonie,suspicious,defacement
indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,safe,benign
linkedin.com/pub/charles-gariepy/2/642/28,safe,benign
http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,suspicious,defacement
facebook.unitedcolleges.net,malicious,phishing
http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/,malicious,phishing
eyeappealoptometry.com/,safe,benign
brophygen.com/,safe,benign
icehockey.wikia.com/wiki/Dan_Blackburn,safe,benign
gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,safe,benign
http://www.bg-ricevimenti.it/index.php/location/osteria-del-molo.html?fontstyle=f-smaller,suspicious,defacement
stewstew.com/,safe,benign
livingharvest.com/products/ice-cream-bars,safe,benign
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,safe,benign
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malicious,malware
bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,safe,benign
http://www.boeuf-soufflenheim.com/de.feed?type=rss,suspicious,defacement
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,safe,benign
parsippanysoccerclub.org/,safe,benign
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,safe,benign
btscene.eu/verified-search/torrent/franco+piersanti/,safe,benign
signature-editions.com/,safe,benign
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,safe,benign
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,suspicious,defacement
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,safe,benign
halkbankparaf-para.com,malicious,phishing
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,safe,benign
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,safe,benign
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D%E3%81%B3%EF%BC%81%E3%82%A8%E3%83%AD%E3%82%A2%E3%83%8B%E3%83%A1+%23ero+%23douga+%23agesage,safe,benign
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,safe,benign
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,safe,benign
http://www.aba-diagnostic.com/espace-prive/reset.html,suspicious,defacement
msn.foxsports.com/nhl/player/yann-sauve/720461,safe,benign
hallmark.businessgreetings.com/,safe,benign
musicstack.com/records-cds/toni+tony+tone,safe,benign
nudecelebsnow.com/tags/1/victoria+justus.htm,safe,benign
http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,suspicious,defacement
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,safe,benign
http://www.designeremdoces.com/components/com_contact/ggdrives/,malicious,phishing
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,safe,benign
facebook.com/people/Yui-Takeshita/100001611015714,safe,benign
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,safe,benign
padmapper.com/search/apartments/Quebec/Montreal-est/,safe,benign
mrskin.com/christina-ricci-nude-c868.html,safe,benign
lip-service.com/webzine/tag/post-apocalyptic-fashion/,safe,benign
http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,suspicious,defacement
http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,suspicious,defacement
linkedin.com/pub/dir/elizabeth/scarborough,safe,benign
cqgcr.ca/ang/producer01.php,safe,benign
huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html,safe,benign
http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/,safe,benign
select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9,safe,benign
startrekcostumes.net/,safe,benign
en.wikipedia.org/wiki/Neil_Curtis,safe,benign
music.carowinds.com/,safe,benign
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malicious,malware
newjersey.craigslist.org/,safe,benign
roverslands.net,malicious,phishing
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,safe,benign
http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/,safe,benign
acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html,safe,benign
http://www.familienbund.org/index.php?option=com_content&view=article&id=291:stellungnahme-des-familienbundes-der-katholiken-zum-referentenentwurf-eines-gesetzes-zur-erweiterung-der-grosselternzeit-&catid=5:stellungnahmen&Itemid=8,suspicious,defacement
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,suspicious,defacement
youtube.com/watch?v=K_-bsYE-y08,safe,benign
myspace.com/jking909,safe,benign
http://www.academiedumeuble.ca/index.php?option=com_seminar&task=3&cid=516&sem_midx=0&sem_jidx=0&Itemid=69,suspicious,defacement
corporacionrossenditotours.com,malicious,phishing
http://maslen.sk/index.php?option=com_contact&view=contact&id=37:iados-o-obchodnu-spolupracu&catid=29:dopytformular&Itemid=5,suspicious,defacement
http://www.clinicatecma.es/index.php/densiometria,suspicious,defacement
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,safe,benign
idlebrain.com/news/functions/engagement-brahmini.html,safe,benign
vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml,safe,benign
archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149,safe,benign
perezhilton.com/category/william-shatner/,safe,benign
fsnaindia.com/,safe,benign
actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/,safe,benign
en.wikipedia.org/wiki/Kenji_Nojima,safe,benign
alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0,safe,benign
greenparty.ca/campaign/24048,safe,benign
http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights,safe,benign
randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter,safe,benign
argentinawarez.com/musica-mp3-gratis/65991-ost-boat-rocked-soundtrack-2cd-2009-a.html,safe,benign
192.com/atoz/people/gerrard/steven/,safe,benign
users6.nofeehost.com/aldenh/493.html,safe,benign
facebook.com/opalhilldrive,safe,benign
scottss.com/,safe,benign
http://drive-google-com.fanalav.com/6a7ec96d6a4b8b887e9f9ace81b40a99/,malicious,phishing
manta.com/ic/mt6fkz0/ca/residence-sault-au-recollet,safe,benign
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,suspicious,defacement
forum.exscn.net/archive/index.php/t-10778.html?pda=1,safe,benign
superpages.com/bp/Kansas-City-KS/Kansas-City-Terminal-Railway-L2170949422.htm,safe,benign
maxlapointe.com/?p=141,safe,benign
http://rendeck.com/index.php/nl/vacatures/table/9/0/index.html?resetfilters=0,suspicious,defacement
ca.ratemyteachers.com/louise-trichet/106184-s,safe,benign
cardomain.com/ride/2424103/2006-pontiac-gto,safe,benign
apps.facebook.com/ilike/artist/Les+Respectables,safe,benign
cbssports.com/nba/players/playerpage/20626/paul-pierce,safe,benign
detkreimeier-fotografie.de,malicious,phishing
http://listovka.info/xmap.html,suspicious,defacement
home.comcast.net/~jcage89/350z/navbox/index.htm,safe,benign
margaritawill.com/hotdogs/,safe,benign
pipl.com/directory/name/Pallas/Tony,safe,benign
newyorker.com/archive/1982/04/12/1982_04_12_039_TNY_CARDS_000335949,safe,benign
youtube.com/watch?v=eMY1FT3Pqh8,safe,benign
law.cornell.edu/wex/Joint_venture,safe,benign
pitchfork.com/reviews/albums/13979-broken-bells/,safe,benign
http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-1187-moi-ma-famille.html?top=3&period=recent,safe,benign
hollywood.com/movie/Biutiful/6870447,safe,benign
facebook.com/pages/The-Paul-Lynde-Halloween-Special-1976/280289980245,safe,benign
hot-people.info/Crossett_AR_Dorothy-Moore_Eric--Newton_1051.html,safe,benign
onlineradio7.com/listen/CFLO_1047,safe,benign
http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%AD%9D%E5%B8%83%E8%B4%B4%E7%94%BB/,malicious,malware
http://www.jnpiraq.net/arabic/index.php?option=com_content&view=article&id=610&catid=5&Itemid=10,suspicious,defacement
artistswithaids.org/artforms/music/catalogue/rileyl.html,safe,benign
http://www.versverwerktegroenten.nl/bruine-bonen.html,suspicious,defacement
mylife.com/dominicbouchard,safe,benign
mmagearguide.com/ufc-117-t-shirts-silva-vs-sonnen/,safe,benign
worldtraveltours.org/4-alternative-places-you-can-choose-at-montreal-travel/.html,safe,benign
iptv.org/,safe,benign
elliscountydivorcelawyer.com/ellis-county-post-divorce-modification.htm,safe,benign
http://grantland.com/the-triangle/2015-mlb-over-under-bets-chicago-cubs-houston-astros-oakland-as-tampa-bay-rays/,safe,benign
fanpix.net/gallery/doug-savant-pictures.htm,safe,benign
chacha.com/question/what-time-does-metro-center-mall-close,safe,benign
marcospecialties.com/storeitems.asp?game=Chicago%20Coin&Chicago%20Coin=RED%20BARON%20(Blue%20Max),safe,benign
hdlns.com/g508zf1457/Kansas+City+Star+Obituaries+Obituaries+from+Kansas+City+Star+Kansas+City%2C+MO,safe,benign
familytreemaker.genealogy.com/users/v/e/r/James-R-Verrier/GENE7-0008.html,safe,benign
therainmakersmessageboard.yuku.com/,safe,benign
tumblr.com/tagged/sebastien+lefebvre,safe,benign
ussoccer.com/News/Soccer-Wire/2002/10/U-S-Soccer-Wire-Galaxy-Claims-2002-MLS-Cup-With-1-0-Double-OT-Win-Over-Revs-Will-Go-For-Rare-Double.aspx,safe,benign
filmannex.com/movie/1984-olympics-fencing-men-saber/21938,safe,benign
allaboutjazz.com/php/musician.php?id=3751,safe,benign
info-pages.000webhostapp.com,malicious,phishing
skiracing.com/?q=node/514,safe,benign
myptccash.com,malicious,phishing
ertx.com/movie/2008/mad-about-mambo,safe,benign
classicbikepictures.co.uk/c319/p2499/for_sale/yamaha%C2%A0yfu1wyfu1-t_for_sale.html,safe,benign
http://thenextweb.com/dd/2011/05/09/squarespace-to-begin-version-6-beta-testing/gtm.js/gtm.js,safe,benign
http://ecoledecoiffurecarolinelaprise.com/formations/pose-ongles/108.html,suspicious,defacement
mtlasm.blogspot.com/,safe,benign
http://chinacxyy.com/piccodejs-000.asp?lm2=191&x=3&y=2&w=90&h=63&open=1&n=10&tj=0,malicious,malware
medicinenet.com/heel_spurs/city.htm,safe,benign
music.yahoo.com/nothingface/,safe,benign
http://9779.info/%E6%8A%98%E7%BA%B8%E6%89%87%E5%AD%90%E6%8B%BC%E8%B4%B4%E7%94%BB/,malicious,malware
espn.go.com/college-football/team/_/id/2306/kansas-state-wildcats,safe,benign
bleacherreport.com/articles/811265-mlb-power-rankings-comparing-every-mlb-team-to-a-classic-80s-rock-band,safe,benign
citiprepaid-salarysea-at.tk,malicious,phishing
famoushookups.com/site/relationship_detail.php?name=Martin-Brodeur&celebid=12150&relid=11371,safe,benign
genealogybuff.com/ar/clark/webbbs_config.pl/noframes/read/10,safe,benign
microlabsltd.com/,safe,benign
tripadvisor.com/ShowUserReviews-g57417-d1013388-r21219909-Mulligan_s-Stratton_Mountain_Vermont.html,safe,benign
http://www.smc-images.co.uk/images/index_hvoda_2311_10.html,malicious,phishing
flickr.com/people/sleepingelf/,safe,benign
http://www.nabu-gaildorf.de/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=01&Itemid=33,suspicious,defacement
subscene.com/Taking-Woodstock/subtitles-80048.aspx,safe,benign
http://kccs.nichost.ru/index.php?option=com_content&view=article&id=107:-24052012-213&catid=17:news&Itemid=35,suspicious,defacement
http://www.nubiafarias.com/v1/index.php?option=com_mailto&tmpl=component&link=b9f337d1ca40d09a113ab5ae6426a96e642fb2af,suspicious,defacement
http://thenextweb.com/insider/2014/10/29/unbabel-integrates-mailchimp-offer-translation-service-promotional-emails/gtm.js/gtm.start,safe,benign
tabs.ultimate-guitar.com/a/audioslave/audioslave_album_btab.htm,safe,benign
sunjournal.com/section/news/5974,safe,benign
http://www.elektro-vozila.si/motocikli/novice/volta-bcn-city-je-elektricni-mestni-supermoto-iz-spanije,suspicious,defacement
ethicalsuperstore.com/products/green-and-blacks/organic-hot-chocolate-drink/?_$ja=tsid:6494%7Ccc:%7Cprd:12744%7Ccat:Groceries+%26+Everyday+%3E+Drinks+%3E+Chocolate,safe,benign
lilliputreview.blogspot.com/2011/04/r-h-blyth-on-waka-and-haiku.html,safe,benign
http://www.musimagen.com/lista_socios.php?pagina=15&letra=,suspicious,defacement
basketball.wikia.com/wiki/Golden_State_Warriors,safe,benign
ech.cwru.edu/ech-cgi/article.pl?id=PGS,safe,benign
filmaffinity.com/es/search.php?stype=cast&stext=Elliott+Gould,safe,benign
chicopeemasoniclodge.org/westover.htm,safe,benign
filmcritic.com/features/2008/10/american-science-fiction-movies/,safe,benign
geographic.org/geographic_names/v/ve_014.html,safe,benign
paperbackswap.com/Sadie-Rose-Adventure-Hilda-Stahl/book/0891076352/,safe,benign
baseball-almanac.com/players/player.php?p=hengeda01,safe,benign
biographi.ca/EN/ShowBio.asp?BioId=41243,safe,benign
deborahfrances-white.com/stand-up.html,safe,benign
spcmoray.com/,safe,benign
http://sexshop-bg.biz/products?page=shop.browse&category_id=276,suspicious,defacement
edu.gov.on.ca/eng/sift/indexSec.asp,safe,benign
benoitglazer.com/,safe,benign
judgepedia.org/index.php/Alan_Gold,safe,benign
http://mueblesjulianjimenez.es/index.php?page=shop.browse&category_id=14&option=com_virtuemart&Itemid=9,suspicious,defacement
sbnation.com/ncaa-football/players/36729/brandon-smith,safe,benign
isearch.com/searching.php?qloc=&showForm=name&qname=Robin+Kelly&refer=3338,safe,benign
http://fischereiverein.org/bildergalerie/category/45-faenge-oktober-2010,suspicious,defacement
ratemyteachers.com/amelia-high-school/15131-s,safe,benign
http://www.expatsalon.ru/index.php/2009-03-04-07-22-09/category/7-.html?start=20,suspicious,defacement
http://apoiojur.com.br/index.php?%2FTable%2FAdministrativo%2F,suspicious,defacement
http://www.steffen-lemme.de/contact/berliner-buero/besuch-in-berlin,suspicious,defacement
http://djsipke.nl/foto-album/1-cafedeknyp/detail/74-104.html?tmpl=component,suspicious,defacement
carfloormatsforsale.com/door-sill/,safe,benign
http://www.harley-davidson-dijon.com/component/adsmanager/1-/737-,suspicious,defacement
facebook.com/pages/Liberman-Broadcasting/106123536086051?sk=info,safe,benign
thefreelibrary.com/No+Catholic+schools+in+Quebec.-a030534573,safe,benign
cngzhz.en.ec21.com/,safe,benign
atlasshrugs2000.typepad.com/atlas_shrugs/2007/08/your-black-musl.html,safe,benign
rotoworld.com/player/nhl/1413/player?r=1,safe,benign
facebook.com/topic.php?uid=34012632110&topic=5794,safe,benign
tomdegan.blogspot.com/,safe,benign
http://www.smartphone.net.br/index.php?option=com_content&view=article&id=66&Itemid=60&lang=pt,suspicious,defacement
http://www.annamodlo.com.ua/index.html,suspicious,defacement
http://codecanyon.net/item/hide-my-joomla-hide-your-source-links/full_screen_preview/8988449,safe,benign
cswisdom.com/,safe,benign
http://www.aquamarinadivingtenerife.com/en/sites-of-interest.html,suspicious,defacement
http://www.lafavoritacb.com/index.php?option=com_content&view=article&id=107:horarioinvierno&catid=43:articulos&Itemid=77,suspicious,defacement
ibabuzz.com/outtakes/category/night-owl/crown-city-rockers/,safe,benign
youtube.com/watch?v=ueziUAQR9LU,safe,benign
en.wikipedia.org/wiki/Simonne_Monet-Chartrand,safe,benign
http://www.sidecocarrelli.it/x.txt,suspicious,defacement
http://www.metalsul.ind.br/site/index.php?option=com_morfeoshow&Itemid=,suspicious,defacement
martindale.com/Brett-Donald-McIntosh/834737-lawyer.htm,safe,benign
frillr.com/?q=taxonomy/term/1733,safe,benign
bankingblog.celent.com/?p=2493,safe,benign
en.wikipedia.org/wiki/Category:American_religious_leaders,safe,benign
narrativemagazine.com/authors/saul-bellow,safe,benign
benmeadowcroft.com/reports/corbato/,safe,benign
spokeo.com/Mike+Burrows,safe,benign
http://otomoto.pl/ciezarowe/EW4Hou_aN610rPsocimkJ_IuLBofatBy4b0MLqoh7Lf.B7/JOcK7gzdoyrcIT2176iLzhCz8UoPOGcT6Y1ax8FNTPf.l7,safe,benign
youtube.com/watch?v=FXWq7qMYB2s,safe,benign
cifstate.org/,safe,benign
nchsband.com/,safe,benign
tvguide.com/celebrities/peter-keleghan/169984,safe,benign
arstechnica.com/apple/news/2011/07/how-charlie-miller-discovered-the-apple-battery-hackhow-a-security-researcher-discovered-the-apple-battery-hack.ars,safe,benign
blog.metmuseum.org/penandparchment/tag/hours-of-jeanne-devreux/,safe,benign
divacafe.net/,safe,benign
archive.org/stream/lifeofmaryqueeno00headuoft/lifeofmaryqueeno00headuoft_djvu.txt,safe,benign
http://buzzfil.net/article/5646/animaux/on-dirait-une-attaque-mais-la-realite-en-est-tout-autre-3.html?href=inner_website,safe,benign
http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,malicious,malware
manta.com/c/mmq1m7y/coldwell-banker-heart-america,safe,benign
superpages.com/bp/Milford-OH/Cliff-Riley-Insurance-L0125750056.htm,safe,benign
ideas.repec.org/e/ppe73.html,safe,benign
http://www.school91.kiev.ua/index.php?option=com_content&view=category&layout=blog&id=38&Itemid=57,suspicious,defacement
